gene_name,Pathway,SubPathway,Phenotype Description,Category,zscore,effect_size,pvalue,FDR_all,Tissue,Phenotype Code,gene,Protein Name,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,Derivation,File
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.82081409635886,-0.0497800388837948,9.160078099584439e-23,9.086797474787764e-21,Brain Nucleus accumbens basal ganglia,30210_irnt,ENSG00000167468,GPX4,0.107840899691725,0.193580245099764,5.688889857151459e-11,6.20738221567976e-10,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.8232508896917,-0.0575064756858394,8.941266468535619e-23,9.086797474787764e-21,Brain Anterior cingulate cortex BA24,30210_irnt,ENSG00000167468,GPX4,0.0804067249500831,0.140627791430511,2.87156474828219e-6,2.30292594826397e-5,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.82163311494872,-0.0606505496364062,9.085949352945319e-23,9.086797474787764e-21,Brain Amygdala,30210_irnt,ENSG00000167468,GPX4,0.072085737956111,0.113006750856746,9.82347320973312e-5,7.6475229252786e-4,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.81204476628041,-0.047533452578673,9.992291045897679e-23,9.637009586487984e-21,Brain Cerebellum,30210_irnt,ENSG00000167468,GPX4,0.118018226704761,0.42003508204793,2.76084664850162e-26,7.7477181816440595e-25,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.60853469321323,-0.0379843644260447,7.358872955245437e-22,6.905407270435719e-20,Spleen,30210_irnt,ENSG00000167468,GPX4,0.176010076507571,0.216532721029612,1.34364072589656e-13,1.36405461284106e-12,24,25,25,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.59555132524934,-0.0480023017243264,8.34696448365114e-22,7.578792416969073e-20,Brain Frontal Cortex BA9,30210_irnt,ENSG00000167468,GPX4,0.111784966323935,0.175940997604549,7.569362405955511e-9,6.90241159256363e-8,5,5,5,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.59351951293205,-0.128334105365165,8.51304447758623e-22,7.578792416969073e-20,Testis,30210_irnt,ENSG00000167468,GPX4,0.0154119182601876,0.0209362303473907,0.00932149836424658,0.0176384193781641,3,3,3,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.56881753988078,-0.0514671579238566,1.08135312617264e-21,9.386145135178515e-20,Brain Caudate basal ganglia,30210_irnt,ENSG00000167468,GPX4,0.0965627229357271,0.184059741640599,4.33540637661696e-10,4.1433389453782805e-9,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.55507966874377,-0.0603194310475064,1.23488871583522e-21,1.0457399076536302e-19,Brain Hypothalamus,30210_irnt,ENSG00000167468,GPX4,0.0698558518461383,0.147870816357399,2.25164149918058e-7,2.19679912810678e-6,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.35845784001152,-0.0424072350020246,8.09089540091351e-21,6.688473531421835e-19,Brain Putamen basal ganglia,30210_irnt,ENSG00000167468,GPX4,0.142848661751814,0.233227633467535,2.5627116991220398e-11,3.59257161796176e-10,23,23,23,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.27438903047136,-0.0321536789436448,1.78639896229809e-20,1.442413301650923e-18,Nerve Tibial,30210_irnt,ENSG00000167468,GPX4,0.228570325187201,0.332352453534252,1.9151211187148095e-48,3.10743374807791e-47,19,20,20,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-9.09153638788797,-0.0429960714032535,9.76492716126565e-20,7.70541525088962e-18,Whole Blood,30210_irnt,ENSG00000167468,GPX4,0.12989577010484,0.179531014739434,1.4327497758297698e-30,1.34190201560375e-29,8,9,9,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-8.79872820680579,-0.0689803436378073,1.3837537097336499e-18,1.0676428622656071e-16,Brain Hippocampus,30210_irnt,ENSG00000167468,GPX4,0.04602380773142,0.117913605165447,6.3196629826853e-6,4.63598158422624e-5,3,3,3,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-8.36150333974207,-0.0328827465351498,6.19240435836432e-17,4.673919115704548e-15,Pituitary,30210_irnt,ENSG00000167468,GPX4,0.183252214106076,0.257512649799853,6.4770333057421e-17,1.0699188971835901e-15,9,9,9,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-8.220434940802,-0.0293139893146279,2.0276646095819696e-16,1.4978833030784254e-14,Adrenal Gland,30210_irnt,ENSG00000167468,GPX4,0.213367633883549,0.295225829580025,2.69164270485764e-19,6.0539252962461696e-18,29,30,30,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Eosinophil percentage,White blood cells,-8.15020289543636,-0.0518941822467049,3.63314187209176e-16,2.6279726208130396e-14,Brain Spinal cord cervical c-1,30210_irnt,ENSG00000167468,GPX4,0.0710332736467466,0.242850518111684,4.5791516457367404e-9,7.84353456628246e-8,4,4,4,Lab/Continuous,30210_irnt.gwas.imputed_v3.both_sexes.csv
PARP1,PARTHANATOS,PARTHANATOS,Platelet crit,Platelets,7.81757497787476,0.110648821285682,5.3850654758985005e-15,3.8157035372080805e-13,Testis,30090_irnt,ENSG00000143799,PARP1,0.0136172345923026,0.0328396653659769,0.00108976563602827,0.00241735451823355,1,1,1,Lab/Continuous,30090_irnt.gwas.imputed_v3.both_sexes.csv
PARP1,PARTHANATOS,PARTHANATOS,Platelet crit,Platelets,7.47711277008057,0.0674412117697088,7.597321907300723e-14,5.275580332429622e-12,Pancreas,30090_irnt,ENSG00000143799,PARP1,0.0339991797637942,0.0735359625953712,1.53372186837429e-6,6.02616635764847e-6,1,1,1,Lab/Continuous,30090_irnt.gwas.imputed_v3.both_sexes.csv
PARP1,PARTHANATOS,PARTHANATOS,Platelet count,Platelets,6.36609220504761,0.0916525853302809,1.93904893301685e-10,1.3200740971440202e-8,Testis,30080_irnt,ENSG00000143799,PARP1,0.0136172345923026,0.0328396653659769,0.00108976563602827,0.00241735451823355,1,1,1,Lab/Continuous,30080_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Lymphocyte count,White blood cells,6.18115644241664,0.021871875353754,6.36337170765933e-10,4.248774340190999e-8,Adrenal Gland,30120_irnt,ENSG00000167468,GPX4,0.213367633883549,0.295225829580025,2.69164270485764e-19,6.0539252962461696e-18,29,30,30,Lab/Continuous,30120_irnt.gwas.imputed_v3.both_sexes.csv
PARP1,PARTHANATOS,PARTHANATOS,Platelet count,Platelets,6.12797689437866,0.056221007073338,8.90035068341378e-10,5.8305693533608765e-8,Pancreas,30080_irnt,ENSG00000143799,PARP1,0.0339991797637942,0.0735359625953712,1.53372186837429e-6,6.02616635764847e-6,1,1,1,Lab/Continuous,30080_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Lymphocyte count,White blood cells,6.08701841775736,0.046029293329471,1.15032742110852e-9,7.39617927053478e-8,Uterus,30120_irnt,ENSG00000167468,GPX4,0.0458577250912566,0.142144551265428,1.06225502117338e-5,1.1086254109586e-4,2,2,2,Lab/Continuous,30120_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Lymphocyte count,White blood cells,6.04694009096138,0.0427579867580602,1.4762261836392201e-9,9.319013290173404e-8,Kidney Cortex,30120_irnt,ENSG00000167468,GPX4,0.0524288927431513,0.130537000414116,0.00168675528285519,0.0162499336958559,2,2,2,Lab/Continuous,30120_irnt.gwas.imputed_v3.both_sexes.csv
PARP1,PARTHANATOS,PARTHANATOS,Platelet crit,Platelets,6.02227660651809,0.0390697018271674,1.7198065082943702e-9,1.0662800351425095e-7,Brain Cerebellar Hemisphere,30090_irnt,ENSG00000143799,PARP1,0.0653969382758903,0.139767776593914,3.46507804648943e-7,1.76623673705635e-6,8,8,8,Lab/Continuous,30090_irnt.gwas.imputed_v3.both_sexes.csv
PARP1,PARTHANATOS,PARTHANATOS,Platelet crit,Platelets,5.97657111847052,0.0385540082531496,2.27883094746111e-9,1.3880879034359604e-7,Brain Cerebellum,30090_irnt,ENSG00000143799,PARP1,0.0666824885099742,0.167010673170223,8.09890585693952e-10,4.752701505256291e-9,12,12,12,Lab/Continuous,30090_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Lymphocyte count,White blood cells,5.79775501100439,0.0662986906980922,6.7208536222221905e-9,4.023242030406111e-7,Artery Coronary,30120_irnt,ENSG00000167468,GPX4,0.0200076855263741,0.0449503153917324,0.00186141387909848,0.00573802887877402,2,2,2,Lab/Continuous,30120_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Lymphocyte count,White blood cells,5.65943554138255,0.0347354614290785,1.5187167731067e-8,8.937262095299088e-7,Cells EBV-transformed lymphocytes,30120_irnt,ENSG00000167468,GPX4,0.0699515699045086,0.14748908054025,1.57108884925957e-6,1.45797989753682e-5,4,4,4,Lab/Continuous,30120_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Lymphocyte count,White blood cells,5.51451722280759,0.0312529929837323,3.49738659132313e-8,2.023821040845651e-6,Ovary,30120_irnt,ENSG00000167468,GPX4,0.0812806983505589,0.333209211076697,3.20084287351836e-16,1.1306009563804e-14,3,3,3,Lab/Continuous,30120_irnt.gwas.imputed_v3.both_sexes.csv
PARP1,PARTHANATOS,PARTHANATOS,Platelet count,Platelets,5.44647421020575,0.0354597365865955,5.13780485296175e-8,2.9243374507349504e-6,Brain Cerebellum,30080_irnt,ENSG00000143799,PARP1,0.0666824885099742,0.167010673170223,8.09890585693952e-10,4.752701505256291e-9,12,12,12,Lab/Continuous,30080_irnt.gwas.imputed_v3.both_sexes.csv
PARP1,PARTHANATOS,PARTHANATOS,Platelet count,Platelets,5.4048230581667,0.0850888493630445,6.48724008064174e-8,3.632854445159374e-6,Heart Atrial Appendage,30080_irnt,ENSG00000143799,PARP1,0.0114725105079208,0.0256508835171605,0.00194395460219184,0.0040550018149592,11,11,11,Lab/Continuous,30080_irnt.gwas.imputed_v3.both_sexes.csv
PARP1,PARTHANATOS,PARTHANATOS,Platelet crit,Platelets,5.38066461581048,0.0795504258952599,7.42113415362648e-8,4.0898694891097045e-6,Artery Tibial,30090_irnt,ENSG00000143799,PARP1,0.0124784234164233,0.017795777240936,0.0012321873618688,0.00208906432208787,10,10,10,Lab/Continuous,30090_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Lymphocyte count,White blood cells,5.31687517238398,0.023080216171504,1.05564434690618e-7,5.726870581966026e-6,Muscle Skeletal,30120_irnt,ENSG00000167468,GPX4,0.137572944362314,0.1389777115528,1.06625822324782e-24,8.53337567847156e-24,10,11,11,Lab/Continuous,30120_irnt.gwas.imputed_v3.both_sexes.csv
PARP1,PARTHANATOS,PARTHANATOS,Platelet crit,Platelets,5.3099054332875,0.0825517662755372,1.09682131006683e-7,5.858713213156975e-6,Heart Atrial Appendage,30090_irnt,ENSG00000143799,PARP1,0.0114725105079208,0.0256508835171605,0.00194395460219184,0.0040550018149592,11,11,11,Lab/Continuous,30090_irnt.gwas.imputed_v3.both_sexes.csv
PARP1,PARTHANATOS,PARTHANATOS,Platelet crit,Platelets,5.24476085739797,0.05438085936299,1.56485162437569e-7,8.232067939139994e-6,Skin Not Sun Exposed Suprapubic,30090_irnt,ENSG00000143799,PARP1,0.0253852207948448,0.0847539192507014,1.47607104120626e-11,5.8197146969534296e-11,17,17,17,Lab/Continuous,30090_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Lymphocyte count,White blood cells,5.21234582166262,0.0268076449933872,1.86467526081609e-7,9.662914187393231e-6,Vagina,30120_irnt,ENSG00000167468,GPX4,0.0987067811032541,0.168475088887476,4.30171959208445e-7,6.90192064158988e-6,4,4,4,Lab/Continuous,30120_irnt.gwas.imputed_v3.both_sexes.csv
PARP1,PARTHANATOS,PARTHANATOS,Platelet count,Platelets,5.17318167123441,0.0777750758046731,2.30141050091547e-7,1.1580430810403642e-5,Artery Tibial,30080_irnt,ENSG00000143799,PARP1,0.0124784234164233,0.017795777240936,0.0012321873618688,0.00208906432208787,10,10,10,Lab/Continuous,30080_irnt.gwas.imputed_v3.both_sexes.csv
GPX4,FERROPTOSIS,FERROPTOSIS,Lymphocyte count,White blood cells,5.17572987739717,0.0214582512681551,2.270217160065e-7,1.1580430810403642e-5,Pancreas,30120_irnt,ENSG00000167468,GPX4,0.152120411747757,0.321742890963193,2.29297188938355e-27,5.21026242826987e-26,6,6,6,Lab/Continuous,30120_irnt.gwas.imputed_v3.both_sexes.csv
PARP1,PARTHANATOS,PARTHANATOS,Platelet crit,Platelets,5.15429063207257,0.0687556049939856,2.54592828639195e-7,1.2627804300504071e-5,Lung,30090_irnt,ENSG00000143799,PARP1,0.0158663263118139,0.0512648153234987,2.06559757637047e-7,6.59113408460033e-7,10,10,10,Lab/Continuous,30090_irnt.gwas.imputed_v3.both_sexes.csv
PARP1,PARTHANATOS,PARTHANATOS,Platelet crit,Platelets,5.13902296967319,0.0632141322711065,2.76170642584749e-7,1.350513339513026e-5,Adipose Subcutaneous,30090_irnt,ENSG00000143799,PARP1,0.0176931652681771,0.0410640907967745,8.42919537548623e-7,2.07956655787137e-6,15,15,15,Lab/Continuous,30090_irnt.gwas.imputed_v3.both_sexes.csv
